Year,Units,display,title,Value
2012,mio.,a) time series,objects in the deutsche digitale bibliothek,5.6
2014,mio.,a) time series,objects in the deutsche digitale bibliothek,11.2
2015,mio.,a) time series,objects in the deutsche digitale bibliothek,18.2
2016,mio.,a) time series,objects in the deutsche digitale bibliothek,20.4
2017,mio.,a) time series,objects in the deutsche digitale bibliothek,23.7
2018,mio.,a) time series,objects in the deutsche digitale bibliothek,24.2
2019,mio.,a) time series,objects in the deutsche digitale bibliothek,32.1
2030,mio.,b) target (min),objects in the deutsche digitale bibliothek,50.0
2015,mio.,a) time series,objects with digitalisat,6.3
2016,mio.,a) time series,objects with digitalisat,8.1
2017,mio.,a) time series,objects with digitalisat,9.7
2018,mio.,a) time series,objects with digitalisat,9.7
2019,mio.,a) time series,objects with digitalisat,13.0
